University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
Date:;0,05000;0,00800;0,00000;1;2266
;0,05100;-0,01100;0,00000;1;2252
Tester:;0,05100;-0,04800;0,00000;0;2236
;0,05200;-0,01900;0,00000;0;2220
;0,05200;-0,03800;0,00000;0;2202
Order-no:;0,05300;-0,02000;-0,00100;0;2182
;0,05300;-0,07900;-0,00200;0;2159
Rope-no.:;0,05400;-0,05200;-0,00300;0;2134
;0,05400;-0,03600;-0,00400;0;2108
Rope type:;0,05500;-0,03100;-0,00600;0;2081
Einfachseil;0,05500;-0,01700;-0,00800;0;2050
Client:;0,05600;-0,02900;-0,01000;0;2018
;0,05600;0,00000;-0,01200;0;1981
Model:;0,05700;-0,06800;-0,01400;0;1944
;0,05700;-0,00900;-0,01700;0;1906
Rope diameter:;0,05800;0,00000;-0,01900;0;1866
8.7 mm;0,05800;-0,08500;-0,02100;0;1824
Drop mass:;0,05900;0,00900;-0,02300;0;1781
80 kg;0,05900;-0,10200;-0,02500;0;1736
;0,06000;-0,03600;-0,02600;0;1688
Force max. filtered;0,06000;-0,09000;-0,02800;0;1635
8,10 kN;0,06100;-0,09100;-0,03000;0;1583
;0,06100;-0,07600;-0,03200;0;1530
Force max. unfiltered:;0,06200;-0,02900;-0,03400;0;1474
8,27 kN;0,06200;-0,01600;-0,03600;0;1413
;0,06300;0,01100;-0,03800;0;1354
Dynamic Elongation:;0,06300;-0,03700;-0,04000;0;1293
33,24%;0,06400;-0,00800;-0,04200;0;1230
;0,06400;-0,03900;-0,04300;0;1164
Static Elongation:;0,06500;-0,02100;-0,04400;0;1098
6,70%;0,06500;0,01800;-0,04400;0;1029
;0,06600;-0,05200;-0,04400;0;958
"Number of
drops without breakage:";0,06600;-0,02900;-0,04400;0;885
;0,06700;-0,00400;-0,04300;0;811
;0,06700;-0,02900;-0,04200;0;734
H0 / Hmax:;0,06800;-0,01200;-0,04100;0;656
-2483 mm / -3408 mm;0,06800;-0,03400;-0,04000;0;577
;0,06900;-0,03700;-0,03800;0;501
Comment:;0,06900;-0,05000;-0,03700;0;416
"before testing: 

     after testing: 
";0,07000;-0,03700;-0,03500;0;324
;0,07000;-0,07000;-0,03400;0;237
Ambient temperature:;0,07100;-0,02800;-0,03300;0;153
;0,07100;-0,03500;-0,03200;0;62
;0,07200;0,05100;-0,03100;0;-32
;0,07200;-0,07200;-0,03000;0;-128
;0,07300;0,01800;-0,03000;0;-232
;0,07300;-0,06500;-0,02900;0;-325
;0,07400;0,02600;-0,02800;0;-426
;0,07400;-0,06600;-0,02800;0;-529
;0,07500;0,00000;-0,02700;0;-641
;0,07500;-0,02100;-0,02700;0;-740
;0,07600;0,00800;-0,02600;0;-848
;0,07600;-0,05200;-0,02600;0;-967
;0,07700;-0,00600;-0,02500;0;-1072
;0,07700;-0,01000;-0,02500;0;-1186
;0,07800;0,03200;-0,02400;0;-1311
;0,07800;-0,03700;-0,02300;0;-1429
;0,07900;-0,03100;-0,02200;0;-1549
;0,07900;-0,02100;-0,02200;0;-1672
;0,08000;-0,02200;-0,02100;0;-1795
;0,08000;-0,05200;-0,02000;0;-1921
;0,08100;0,01700;-0,02000;0;-2049
;0,08100;-0,01100;-0,01900;0;-2180
;0,08200;0,04000;-0,01900;0;-2320
;0,08200;-0,03600;-0,01800;0;-2443
;0,08300;0,04800;-0,01700;0;-2575
;0,08300;-0,01300;-0,01700;0;-2704
